slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
top_17,뷔스티에,top,스테디,마이크로,성장,-0.7681,-0.6651,0.0372,0.3528,-0.0331,0.2549,0.2824,0.6248,2.0833,1.0,100.0,45.0,262,52,2
top_18,홀터넥,top,마이크로,마이크로,도입,-1.7587,2.2738,0.122,0.2763,0.3356,0.3315,0.0076,0.9279,7.6923,1.0,100.0,29.0,262,52,0
top_19,오프숄더,top,스테디,메가,성장,1.8683,-1.0578,0.5772,0.2376,0.1446,0.2011,0.3969,0.2077,2.2222,1.0,100.0,56.0,262,52,2
top_20,케이블니트,top,마이크로,마이크로,도입,-1.0086,0.1146,0.0934,0.154,0.1913,0.1759,0.187,1.4754,1.7544,1.0,100.0,24.0,262,52,0
top_21,집업니트,top,스테디,스테디,도입,-0.3113,-0.7585,0.2311,0.7529,0.1972,0.1683,0.2214,0.4369,2.3256,1.0,100.0,9.0,262,52,2
top_22,린넨셔츠,top,스테디,스테디,정점/성숙,-0.9311,-0.7901,0.0613,0.8213,0.0893,0.0842,0.229,0.4724,2.1739,1.0,100.0,72.0,262,52,2
top_24,베스트,top,스테디,메가,쇠퇴,3.5647,-1.3736,0.4428,0.1518,-0.0454,-0.1625,0.8588,0.1308,1.7241,0.4751,100.0,37.0,262,52,2
top_25,카라니트,top,마이크로,마이크로,쇠퇴/잔존,-1.1711,-0.3373,0.0702,0.2959,0.2606,0.0782,0.1718,0.905,2.1277,1.0,100.0,47.0,262,52,0
top_28,헨리넥,top,스테디,마이크로,성장,1.8871,-0.6941,0.8473,0.4032,0.6891,0.353,0.1832,0.4722,2.381,1.0,100.0,71.0,262,52,2
top_29,크롭니트,top,마이크로,마이크로,쇠퇴/잔존,-1.8637,1.7365,0.0,0.0375,0.0003,0.013,0.084,3.1551,1.2821,1.0,100.0,30.0,262,52,0
top_30,슬리브리스,top,스테디,마이크로,성장,-0.2554,-0.1326,0.3924,0.5387,0.4411,0.2056,0.1031,0.9843,2.381,1.0,100.0,57.0,262,52,2
top_a01,무지티,top,마이크로,마이크로,도입,-1.4381,-0.3835,0.0107,0.4183,0.1575,0.1078,0.1641,0.8014,2.2727,1.0,100.0,35.0,262,52,0
top_a02,튜브탑,top,스테디,마이크로,쇠퇴/잔존,-0.1856,-0.5542,0.1405,0.3244,0.0933,0.0756,0.3206,0.7939,1.9231,0.4636,100.0,50.0,262,52,2
top_a04,오버핏셔츠,top,마이크로,마이크로,쇠퇴/잔존,-1.3326,-0.3617,0.0,0.3773,0.0432,0.0374,0.1947,0.8427,2.2222,1.0,100.0,37.0,262,52,0
top_a06,브이넥니트,top,마이크로,마이크로,도입,-1.2649,0.139,0.0318,0.1696,0.1984,0.1475,0.1832,1.4707,1.8182,1.0,100.0,16.0,262,52,0
bottom_01,와이드팬츠,bottom,스테디,메가,성장,3.1039,-1.3877,0.4894,0.4602,0.0637,0.2029,0.7252,0.1423,1.6667,1.0,100.0,63.0,262,52,2
bottom_02,카고팬츠,bottom,스테디,마이크로,쇠퇴/잔존,0.1822,-0.5989,0.5673,0.3534,0.1708,0.0313,0.0534,0.2838,3.0303,1.0,100.0,31.0,262,52,2
bottom_03,슬랙스,bottom,메가,메가,쇠퇴/잔존,2.161,-1.0897,0.6718,0.443,-0.1015,0.0617,0.3817,0.1572,2.2727,0.0,100.0,36.0,262,52,1
bottom_04,부츠컷,bottom,스테디,마이크로,성장,0.9818,-0.6296,0.6178,0.4279,0.2942,0.3134,0.1794,0.3292,2.8571,1.0,100.0,56.0,262,52,2
bottom_05,와이드데님,bottom,스테디,마이크로,성장,0.413,-0.643,0.3475,0.3129,0.3013,0.2767,0.2786,0.6066,2.1739,1.0,100.0,41.0,262,52,2
