slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
micro_blokecore,블록코어,micro,마이크로,마이크로,도입,-1.3535,0.3516,0.1226,0.2414,0.1965,0.1689,0.1298,1.1794,2.3256,1.0,100.0,29.0,262,52,1
micro_gorpcore,고프코어,micro,메가,마이크로,쇠퇴,0.7757,-0.5532,0.4931,0.3657,0.1822,-0.2733,0.1908,0.5812,2.439,0.4291,100.0,26.0,262,52,0
micro_old_money,올드머니,micro,마이크로,마이크로,도입,-2.4268,2.9621,0.0035,0.0,0.0672,0.1749,0.0344,2.3236,4.7619,1.0,100.0,12.0,262,52,1
micro_leg_warmer,레그워머,micro,마이크로,마이크로,도입,-1.7757,0.9803,0.0685,0.2496,0.1781,0.1216,0.0992,1.5785,2.3256,1.0,100.0,13.0,262,52,1
steady_padding,패딩,steady,스테디,스테디,쇠퇴/잔존,-1.3939,1.6067,0.0745,0.8826,0.0375,0.054,0.1679,0.3606,10.0,1.0,100.0,4.0,262,52,2
steady_coat,코트,steady,스테디,스테디,도입,0.254,-1.039,0.2588,0.7993,0.0076,0.1137,0.313,0.2015,2.7778,1.0,100.0,37.0,262,52,2
steady_knit,니트,steady,스테디,스테디,쇠퇴/잔존,1.5671,-1.3643,0.4308,0.9289,0.034,0.0778,0.4046,0.1013,2.2727,1.0,100.0,28.0,262,52,2
steady_boots,부츠,steady,스테디,스테디,도입,0.2913,-1.103,0.3383,0.8213,0.0429,0.1679,0.2443,0.1526,2.8169,1.0,100.0,33.0,262,52,2
steady_muffler,머플러,steady,스테디,스테디,쇠퇴/잔존,-0.9488,-0.384,0.1293,0.9217,0.042,0.0881,0.2023,0.1996,4.7619,1.0,100.0,16.0,262,52,2
steady_swimsuit,수영복,steady,스테디,스테디,쇠퇴/잔존,-1.2316,-1.0476,0.1076,0.7206,0.0129,0.0669,0.1679,0.1793,2.8571,1.0,100.0,40.0,262,52,2
steady_bikini,비키니,steady,메가,마이크로,쇠퇴/잔존,-2.0274,-0.5243,0.097,0.2727,-0.0339,0.0035,0.0229,0.2709,4.0,0.0,100.0,21.0,262,52,0
steady_sandals,샌들,steady,스테디,스테디,성장,0.5307,-0.2111,0.4471,0.9357,0.0968,0.1309,0.187,0.2038,5.2632,1.0,100.0,75.0,262,52,2
steady_slipper,슬리퍼,steady,스테디,스테디,성장,2.3912,-1.4516,0.3553,0.5909,0.026,0.14,0.6374,0.1345,1.8519,1.0,100.0,64.0,262,52,2
steady_cardigan,가디건,steady,스테디,스테디,쇠퇴/잔존,2.6524,-1.4412,0.5284,0.8925,-0.0109,0.0836,0.5229,0.1099,2.0,1.0,100.0,27.0,262,52,2
